Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI
2014,9,27,4,0,0,0,0,0,0,0
2014,9,27,4,30,0,0,0,0,0,0
2014,9,27,5,0,0,0,0,0,0,0
2014,9,27,5,30,0,0,0,0,0,0
2014,9,27,6,0,18,223,31,18,223,31
2014,9,27,6,30,43,438,111,43,438,111
2014,9,27,7,0,56,595,202,56,595,202
2014,9,27,7,30,65,691,296,65,691,296
2014,9,27,8,0,72,757,387,72,757,387
2014,9,27,8,30,78,803,471,78,803,471
2014,9,27,9,0,82,837,547,82,837,547
2014,9,27,9,30,86,861,612,86,861,612
2014,9,27,10,0,89,878,664,89,878,664
2014,9,27,10,30,90,890,704,90,890,704
2014,9,27,11,0,92,898,729,92,898,729
2014,9,27,11,30,92,901,739,92,901,739
2014,9,27,12,0,92,900,734,92,900,734
2014,9,27,12,30,91,895,715,91,895,715
2014,9,27,13,0,89,886,681,89,886,681
2014,9,27,13,30,87,871,633,87,871,633
2014,9,27,14,0,83,851,573,83,851,573
2014,9,27,14,30,79,823,501,79,823,501
2014,9,27,15,0,73,785,420,73,785,420
2014,9,27,15,30,66,734,332,66,734,332
2014,9,27,16,0,56,666,240,56,666,240
2014,9,27,16,30,40,583,149,40,583,149
2014,9,27,17,0,33,408,71,33,408,71
2014,9,27,17,30,0,0,0,0,0,0
2014,9,27,18,0,0,0,0,0,0,0
2014,9,27,18,30,0,0,0,0,0,0
2014,9,27,19,0,0,0,0,0,0,0
2014,9,27,19,30,0,0,0,0,0,0
2014,9,27,20,0,0,0,0,0,0,0
2014,9,27,20,30,0,0,0,0,0,0
2014,9,27,21,0,0,0,0,0,0,0
2014,9,27,21,30,0,0,0,0,0,0
2014,9,27,22,0,0,0,0,0,0,0
2014,9,27,22,30,0,0,0,0,0,0
2014,9,27,23,0,0,0,0,0,0,0
2014,9,27,23,30,0,0,0,0,0,0
2014,9,28,0,0,0,0,0,0,0,0
2014,9,28,0,30,0,0,0,0,0,0
2014,9,28,1,0,0,0,0,0,0,0
2014,9,28,1,30,0,0,0,0,0,0
2014,9,28,2,0,0,0,0,0,0,0
2014,9,28,2,30,0,0,0,0,0,0
2014,9,28,3,0,0,0,0,0,0,0
2014,9,28,3,30,0,0,0,0,0,0
2014,9,28,4,0,0,0,0,0,0,0
2014,9,28,4,30,0,0,0,0,0,0
2014,9,28,5,0,0,0,0,0,0,0
2014,9,28,5,30,0,0,0,0,0,0
2014,9,28,6,0,17,210,29,17,210,29
2014,9,28,6,30,42,429,107,42,429,107
2014,9,28,7,0,55,589,199,55,589,199
2014,9,28,7,30,65,688,292,65,688,292
2014,9,28,8,0,72,755,383,72,755,383
2014,9,28,8,30,78,802,468,78,802,468
2014,9,28,9,0,82,837,544,82,837,544
2014,9,28,9,30,86,863,610,86,863,610
2014,9,28,10,0,89,882,663,89,882,663
2014,9,28,10,30,91,894,702,91,894,702
2014,9,28,11,0,92,901,727,92,901,727
2014,9,28,11,30,92,903,737,92,903,737
2014,9,28,12,0,92,902,731,92,902,731
2014,9,28,12,30,91,895,711,91,895,711
2014,9,28,13,0,89,885,676,89,885,676
2014,9,28,13,30,86,868,627,86,868,627
2014,9,28,14,0,83,846,565,83,846,565
2014,9,28,14,30,78,816,493,78,816,493
2014,9,28,15,0,73,776,411,73,776,411
2014,9,28,15,30,65,722,323,65,722,323
2014,9,28,16,0,55,651,231,85,373,186
2014,9,28,16,30,39,566,141,58,309,113
2014,9,28,17,0,33,394,66,53,0,53
2014,9,28,17,30,0,0,0,0,0,0
2014,9,28,18,0,0,0,0,0,0,0
2014,9,28,18,30,0,0,0,0,0,0
2014,9,28,19,0,0,0,0,0,0,0
2014,9,28,19,30,0,0,0,0,0,0
2014,9,28,20,0,0,0,0,0,0,0
2014,9,28,20,30,0,0,0,0,0,0
2014,9,28,21,0,0,0,0,0,0,0
2014,9,28,21,30,0,0,0,0,0,0
2014,9,28,22,0,0,0,0,0,0,0
2014,9,28,22,30,0,0,0,0,0,0
2014,9,28,23,0,0,0,0,0,0,0
2014,9,28,23,30,0,0,0,0,0,0
2014,9,29,0,0,0,0,0,0,0,0
2014,9,29,0,30,0,0,0,0,0,0
2014,9,29,1,0,0,0,0,0,0,0
2014,9,29,1,30,0,0,0,0,0,0
2014,9,29,2,0,0,0,0,0,0,0
2014,9,29,2,30,0,0,0,0,0,0
2014,9,29,3,0,0,0,0,0,0,0
2014,9,29,3,30,0,0,0,0,0,0
2014,9,29,4,0,0,0,0,0,0,0
2014,9,29,4,30,0,0,0,0,0,0
2014,9,29,5,0,0,0,0,0,0,0
2014,9,29,5,30,0,0,0,0,0,0
2014,9,29,6,0,16,191,26,9,0,9
2014,9,29,6,30,41,412,102,35,0,35
2014,9,29,7,0,55,572,192,67,0,67
2014,9,29,7,30,64,671,283,99,0,99
2014,9,29,8,0,71,737,372,169,92,206
2014,9,29,8,30,77,784,455,207,94,252
2014,9,29,9,0,82,818,529,195,17,205
2014,9,29,9,30,85,843,593,218,19,229
2014,9,29,10,0,88,860,645,275,343,497
2014,9,29,10,30,90,872,683,284,356,526
2014,9,29,11,0,91,879,706,238,529,608
2014,9,29,11,30,91,881,715,224,553,616
2014,9,29,12,0,91,878,709,222,552,611
2014,9,29,12,30,90,871,689,320,180,444
2014,9,29,13,0,88,860,654,306,174,421
2014,9,29,13,30,86,843,605,280,178,390
2014,9,29,14,0,82,820,545,234,308,408
2014,9,29,14,30,78,789,474,201,305,354
2014,9,29,15,0,72,748,394,180,158,249
2014,9,29,15,30,64,693,308,142,148,194
2014,9,29,16,0,54,619,218,80,0,80
2014,9,29,16,30,38,533,131,48,0,48
2014,9,29,17,0,32,367,61,22,0,22
2014,9,29,17,30,0,0,0,0,0,0
2014,9,29,18,0,0,0,0,0,0,0
2014,9,29,18,30,0,0,0,0,0,0
2014,9,29,19,0,0,0,0,0,0,0
2014,9,29,19,30,0,0,0,0,0,0
2014,9,29,20,0,0,0,0,0,0,0
2014,9,29,20,30,0,0,0,0,0,0
2014,9,29,21,0,0,0,0,0,0,0
2014,9,29,21,30,0,0,0,0,0,0
2014,9,29,22,0,0,0,0,0,0,0
2014,9,29,22,30,0,0,0,0,0,0
2014,9,29,23,0,0,0,0,0,0,0
2014,9,29,23,30,0,0,0,0,0,0
2014,9,30,0,0,0,0,0,0,0,0
2014,9,30,0,30,0,0,0,0,0,0
2014,9,30,1,0,0,0,0,0,0,0
2014,9,30,1,30,0,0,0,0,0,0
2014,9,30,2,0,0,0,0,0,0,0
2014,9,30,2,30,0,0,0,0,0,0
2014,9,30,3,0,0,0,0,0,0,0
2014,9,30,3,30,0,0,0,0,0,0
2014,9,30,4,0,0,0,0,0,0,0
2014,9,30,4,30,0,0,0,0,0,0
2014,9,30,5,0,0,0,0,0,0,0
2014,9,30,5,30,0,0,0,0,0,0
2014,9,30,6,0,15,169,23,1,0,1
2014,9,30,6,30,40,389,96,8,0,8
2014,9,30,7,0,54,550,183,24,0,24
2014,9,30,7,30,63,650,273,40,0,40
2014,9,30,8,0,71,718,361,41,0,41
2014,9,30,8,30,77,765,443,26,0,26
2014,9,30,9,0,81,800,516,123,0,123
2014,9,30,9,30,85,825,578,93,0,93
2014,9,30,10,0,87,843,629,140,0,140
2014,9,30,10,30,89,855,667,208,8,214
2014,9,30,11,0,91,862,690,203,7,208
2014,9,30,11,30,91,865,700,225,11,233
2014,9,30,12,0,91,863,694,229,11,237
2014,9,30,12,30,90,857,674,172,1,173
2014,9,30,13,0,88,846,640,147,0,147
2014,9,30,13,30,85,830,593,114,0,114
2014,9,30,14,0,82,807,533,139,0,139
2014,9,30,14,30,77,777,463,45,0,45
2014,9,30,15,0,71,736,384,14,0,14
2014,9,30,15,30,64,680,299,83,0,83
2014,9,30,16,0,53,605,210,51,0,51
2014,9,30,16,30,37,519,124,30,0,30
2014,9,30,17,0,32,373,59,14,0,14
2014,9,30,17,30,0,0,0,0,0,0
2014,9,30,18,0,0,0,0,0,0,0
2014,9,30,18,30,0,0,0,0,0,0
2014,9,30,19,0,0,0,0,0,0,0
2014,9,30,19,30,0,0,0,0,0,0
2014,9,30,20,0,0,0,0,0,0,0
2014,9,30,20,30,0,0,0,0,0,0
2014,9,30,21,0,0,0,0,0,0,0
2014,9,30,21,30,0,0,0,0,0,0
2014,9,30,22,0,0,0,0,0,0,0
2014,9,30,22,30,0,0,0,0,0,0
2014,9,30,23,0,0,0,0,0,0,0
